coAuthorsCiteseer.mtx

is :     10134 | 10140 10311 10366 10342 10471
is :     9343 |  9625  9512  9648  9688 10870
is :     9322 | 10658 10684 10717  9818  9777
is :     9628 |  9756 10155 10578  9652 10522
is :     9390 |  9752  9900  9764  9922 10721
is :     10013 | 10380 10262 10225 10432 10291
is :     9409 |  9567  9707  9700  9756  9928
is :     9518 |  9790  9647 10568  9647  9562
is :     9733 | 10195  9842 10288 10411 10417
is :     9350 |  9570  9911  9682  9826  9675
is :     10017 | 10125 10558 10490 10009 10759
is :     9387 | 11525  9514  9700  9625  9685
is :     9362 |  9802  9790  9685  9787  9827
is :     9281 | 10107  9867 10687  9640  9696
is :     10234 | 10443 10297 10588 10474 10176
is :     9462 | 10029  9817  9661  9783  9794
is :     9351 |  9952  9839  9924  9783  9801
is :     9202 |  9624  9900  9561  9537  9825
is :     10041 | 10603 10451 10532 10592 10223
is :     9310 | 10788  9767  9794 10699  9908
------
mean initials 9574.35, mean final 9573.69, time 12764.9 s (mean 124.467 s)

