nug30.mtx

is :     38014 | 36828 35829 37299 36074 36219
is :     35835 | 33399 35451 35800 35603 33331
is :     36956 | 34754 32910 31685 33687 33337
is :     36201 | 37211 37841 37960 37012 37668
is :     36947 | 35919 36732 36075 35756 34885
is :     37695 | 37785 37606 38471 37553 37429
is :     37269 | 37976 37528 38011 37946 38132
is :     36219 | 37691 37846 37442 36875 36994
is :     36054 | 36393 35625 34297 35856 36129
is :     35485 | 32987 34030 30237 35699 33004
is :     34458 | 34915 35172 34849 34958 35259
is :     35955 | 37094 37263 37185 37161 37569
is :     37415 | 37546 38080 37736 37941 37657
is :     36937 | 36193 36910 37561 37146 36801
is :     35470 | 36483 35764 36019 36239 35439
is :     37456 | 35963 36116 36701 36598 36359
is :     34873 | 37121 37879 37251 37296 37406
is :     36979 | 38094 38174 38198 37719 37947
is :     37295 | 35846 37791 37227 37357 37692
is :     38293 | 36722 37186 37097 38133 36910
------
mean initials 36590.3, mean final 35938.7, time 7554.96 s (mean 71.3526 s)

