is :     35072 | 34849 34698 34937 34534 36008
is :     36231 | 37264 37237 36733 37571 37150
is :     35638 | 34955 34741 35453 36537 36390
is :     35623 | 37472 37057 37287 37573 37527
is :     38404 | 34436 34941 35172 33997 34721
is :     36162 | 37210 37109 36990 36891 36741
is :     37458 | 37398 37686 37380 37085 37232
is :     36465 | 37972 37832 38218 37675 37619
is :     37750 | 36549 36629 35719 35765 36292
is :     36899 | 36754 36720 37472 36888 35857
is :     36588 | 37271 37258 37060 36541 37850
is :     36082 | 37558 37030 37148 36977 37358
is :     36849 | 36117 35818 36362 36209 37025
is :     36493 | 31912 33065 33507 33275 31844
is :     35589 | 36256 36045 35818 36461 35516
is :     35574 | 31748 35328 35315 35911 34013
is :     36956 | 35872 35849 35158 34575 35256
is :     38919 | 38814 37974 39466 38323 37859
is :     35463 | 36841 36684 36978 36840 37254
is :     37984 | 37059 36535 37348 37344 38041
------
mean initials 36609.9, mean final 35871.1, time 7506.07 s (mean 70.9462 s)

