bcsstk30:
hr-0-0-0	initials 427.40		 finals: 456.45
hr-0-1-0	initials 427.90		 finals: 366.30
hr-10-0-0	initials 463.90	 	 finals: 444.50
hr-10-0-1	initials 453.50	 	 finals: 454.20
hr-1-0-0	initials 450.30	 	 finals: 447.80
hr-10-1-0	initials 451.05	 	 finals: 463.65
hr-10-1-1	initials 463.70	 	 finals: 458.35
hr-1-0-1	initials 462.20	 	 finals: 422.20
hr-11-0-0	initials 424.75	 	 finals: 407.65
hr-11-0-1	initials 443.85	 	 finals: 406.65
hr-1-1-0	initials 448.55	 	 finals: 388.85
hr-11-1-0	initials 478.45	 	 finals: 417.85
hr-11-1-1	initials 458.30	 	 finals: 408.00
hr-1-1-1	initials 433.80	 	 finals: 386.65
hr-2-0-0	initials 454.80	 	 finals: 679.30
hr-2-0-1	initials 423.90	 	 finals: 677.75
hr-2-1-0	initials 431.70	 	 finals: 674.50
hr-2-1-1	initials 470.45	 	 finals: 707.15
hr-3-0-0	initials 456.80	 	 finals: 505.50
hr-3-0-1	initials 446.90	 	 finals: 441.40
hr-3-1-0	initials 425.90	 	 finals: 466.20
hr-3-1-1	initials 426.40	 	 finals: 429.20
hr-4-0-0	initials 444.60	 	 finals: 382.00
hr-4-0-1	initials 426.95	 	 finals: 383.50
hr-4-1-0	initials 432.20	 	 finals: 389.75
hr-4-1-1	initials 416.50	 	 finals: 365.90
hr-5-0-0	initials 449.10	 	 finals: 399.45
hr-5-0-1	initials 466.10	 	 finals: 390.55
hr-5-1-0	initials 442.55	 	 finals: 393.45
hr-5-1-1	initials 419.20	 	 finals: 404.50
hr-6-0-0	initials 439.55	 	 finals: 441.05
hr-6-0-1	initials 434.10	 	 finals: 434.60
hr-6-1-0	initials 450.20	 	 finals: 437.30
hr-6-1-1	initials 414.80	 	 finals: 437.70
hr-7-0-0	initials 439.50	 	 finals: 407.95
hr-7-0-1	initials 453.30	 	 finals: 422.95
hr-7-1-0	initials 431.80	 	 finals: 413.90
hr-7-1-1	initials 427.55	 	 finals: 404.85
hr-8-0-0	initials 453.50	 	 finals: 459.35
hr-8-0-1	initials 429.80	 	 finals: 374.60
hr-8-1-0	initials 420.10	 	 finals: 445.30
hr-8-1-1	initials 413.30	 	 finals: 380.15
hr-9-0-0	initials 434.95	 	 finals: 479.25
hr-9-0-1	initials 422.05	 	 finals: 401.55
hr-9-1-0	initials 423.05	 	 finals: 472.95
hr-9-1-1	initials 426.50	 	 finals: 405.20
