dfl001

hr-0-0-0.	initials 614.85	 	finals: 1492.15
hr-0-0-1.	initials 601.90	 	finals: 1488.30
hr-0-1-0.	initials 599.55	 	finals: 591.65
hr-0-1-1.	initials 599.95	 	finals: 590.60
hr-10-0-0.	initials 607.90	 	finals: 1453.90
hr-10-0-1.	initials 599.90	 	finals: 1313.05
hr-1-0-0.	initials 602.50	 	finals: 620.10
hr-10-1-0.	initials 606.40	 	finals: 724.45
hr-10-1-1.	initials 608.40	 	finals: 631.90
hr-1-0-1.	initials 606.95	 	finals: 646.05
hr-11-0-0.	initials 588.05	 	finals: 707.85
hr-11-0-1.	initials 615.30	 	finals: 662.50
hr-1-1-0.	initials 591.10	 	finals: 594.30
hr-11-1-0.	initials 594.25	 	finals: 649.20
hr-11-1-1.	initials 603.60	 	finals: 621.85
hr-1-1-1.	initials 608.15	 	finals: 594.10
hr-2-0-0.	initials 595.45	 	finals: 1311.50
hr-2-0-1.	initials 602.95	 	finals: 1316.25
hr-2-1-0.	initials 599.95	 	finals: 1307.75
hr-2-1-1.	initials 608.75	 	finals: 1312.40
hr-3-0-0.	initials 607.95	 	finals: 619.05
hr-3-0-1.	initials 604.20	 	finals: 628.30
hr-3-1-0.	initials 604.35	 	finals: 628.20
hr-3-1-1.	initials 609.50	 	finals: 625.40
hr-4-0-0.	initials 611.30	 	finals: 1458.40
hr-4-0-1.	initials 614.55	 	finals: 1457.75
hr-4-1-0.	initials 597.85	 	finals: 1333.85
hr-4-1-1.	initials 598.15	 	finals: 1334.30
hr-5-0-0.	initials 615.00	 	finals: 641.00
hr-5-0-1.	initials 606.60	 	finals: 626.50
hr-5-1-0.	initials 604.75	 	finals: 642.30
hr-5-1-1.	initials 601.90	 	finals: 637.30
hr-6-0-0.	initials 607.70	 	finals: 597.40
hr-6-0-1.	initials 602.30	 	finals: 601.55
hr-6-1-0.	initials 596.80	 	finals: 595.85
hr-6-1-1.	initials 605.95	 	finals: 595.75
hr-7-0-0.	initials 597.60	 	finals: 597.75
hr-7-0-1.	initials 590.15	 	finals: 598.15
hr-7-1-0.	initials 611.05	 	finals: 588.65
hr-7-1-1.	initials 602.65	 	finals: 589.75
hr-8-0-0.	initials 585.85	 	finals: 1491.90
hr-8-0-1.	initials 607.65	 	finals: 596.05
hr-8-1-0.	initials 609.35	 	finals: 1490.35
hr-8-1-1.	initials 598.35	 	finals: 594.45
hr-9-0-0.	initials 597.65	 	finals: 1490.15
hr-9-0-1.	initials 609.50	 	finals: 969.65
hr-9-1-0.	initials 597.50	 	finals: 1495.00
hr-9-1-1.	initials 594.95	 	finals: 964.05
