nug30/hr-0-0-0.		initials 46777.60	  finals: 189687.85
nug30/hr-0-0-1.		initials 47280.70	  finals: 189691.45
nug30/hr-0-1-0.		initials 46851.55	  finals: 38487.75
nug30/hr-0-1-1.		initials 46145.45	  finals: 38710.45
nug30/hr-10-0-0.	initials 48071.65	  finals: 163977.80
nug30/hr-10-0-1.	initials 47858.45	  finals: 161369.35
nug30/hr-1-0-0.		initials 47029.60	  finals: 46402.35
nug30/hr-10-1-0.	initials 45868.65	  finals: 61436.65
nug30/hr-10-1-1.	initials 47232.25	  finals: 61200.10
nug30/hr-1-0-1.		initials 47402.30	  finals: 45967.70
nug30/hr-11-0-0.	initials 47545.90	  finals: 45685.70
nug30/hr-11-0-1.	initials 47801.45	  finals: 45831.95
nug30/hr-1-1-0.		initials 46905.20	  finals: 38792.70
nug30/hr-11-1-0.	initials 47870.50	  finals: 41992.70
nug30/hr-11-1-1.	initials 45924.40	  finals: 39454.25
nug30/hr-1-1-1.		initials 47589.75	  finals: 39209.00
nug30/hr-2-0-0.		initials 46940.60	  finals: 113108.85
nug30/hr-2-0-1.		initials 47072.50	  finals: 113075.10
nug30/hr-2-1-0.		initials 46337.15	  ifinals: 112746.30
nug30/hr-2-1-1.		initials 48297.85	  finals: 112898.55
nug30/hr-3-0-0.		initials 47692.95	  finals: 47670.85
nug30/hr-3-0-1.		initials 47477.90	  finals: 47044.15
nug30/hr-3-1-0.		initials 45907.25	  finals: 46429.00
nug30/hr-3-1-1.		initials 46158.05	  finals: 44920.95
nug30/hr-4-0-0.		initials 47227.05	  finals: 179638.45
nug30/hr-4-0-1.		initials 46727.85	  finals: 179950.70
nug30/hr-4-1-0.		initials 47654.55	  finals: 76179.75
nug30/hr-4-1-1.		initials 47734.60	  finals: 77584.25
nug30/hr-5-0-0.		initials 48285.65	  finals: 47252.00
nug30/hr-5-0-1.		initials 47612.05	  finals: 45239.20
nug30/hr-5-1-0.		initials 47196.00	  finals: 42474.45
nug30/hr-5-1-1.		initials 47485.20	  finals: 42561.45
nug30/hr-6-0-0.		initials 47634.30	  finals: 40981.10
nug30/hr-6-0-1.		initials 44893.35	  finals: 40176.35
nug30/hr-6-1-0.		initials 46869.15	  finals: 41126.45
nug30/hr-6-1-1.		initials 47095.05	  finals: 40998.50
nug30/hr-7-0-0.		initials 46081.35	  finals: 40783.00
nug30/hr-7-0-1.		initials 46860.65	  finals: 41231.95
nug30/hr-7-1-0.		initials 45680.65	  finals: 40199.95
nug30/hr-7-1-1.		initials 47469.85	  finals: 41629.80
nug30/hr-8-0-0.		initials 45357.70	  finals: 189686.60
nug30/hr-8-0-1.		initials 46393.00	  finals: 38614.45
nug30/hr-8-1-0.		initials 47260.50	  finals: 189671.65
nug30/hr-8-1-1.		initials 47446.35	  finals: 38567.60
nug30/hr-9-0-0.		initials 47545.45	  finals: 188130.75
nug30/hr-9-0-1.		initials 47084.10	  finals: 158697.55
nug30/hr-9-1-0.		initials 47862.75	  finals: 188707.95
nug30/hr-9-1-1.		initials 47295.25	  finals: 161427.70
