rgg_n_2_18_s0:

hr-0-0-0	initials 312.10	 	 finals: 306.70
hr-0-0-1	initials 311.85	 	 finals: 315.70
hr-0-1-0	initials 304.50	 	 finals: 312.65
hr-0-1-1	initials 317.55	 	 finals: 316.05
hr-10-0-0	initials 313.75	 	 finals: 314.55
hr-10-0-1	initials 303.40	 	 finals: 315.20
hr-1-0-0	initials 316.90	 	 finals: 314.20
hr-10-1-0	initials 322.80	 	 finals: 311.55
hr-10-1-1	initials 304.55	 	 finals: 319.45
hr-1-0-1	initials 337.15	 	 finals: 313.80
hr-11-0-0	initials 309.05	 	 finals: 317.10
hr-11-0-1	initials 308.00	 	 finals: 313.00
hr-1-1-0	initials 318.20	 	 finals: 325.10
hr-11-1-0	initials 300.35	 	 finals: 321.00
hr-11-1-1	initials 332.90	 	 finals: 314.15
hr-1-1-1	initials 315.65	 	 finals: 308.25
hr-2-0-0	initials 302.85	 	 finals: 310.55
hr-2-0-1	initials 322.30	 	 finals: 309.95
hr-2-1-0	initials 312.20	 	 finals: 308.45
hr-2-1-1	initials 306.80	 	 finals: 315.85
hr-3-0-0	initials 305.30	 	 finals: 321.25
hr-3-0-1	initials 306.95	 	 finals: 319.70
hr-3-1-0	initials 312.40	 	 finals: 318.30
hr-3-1-1	initials 316.35	 	 finals: 321.15
hr-4-0-0	initials 301.75	 	 finals: 310.25
hr-4-0-1	initials 322.25	 	 finals: 314.15
hr-4-1-0	initials 324.65	 	 finals: 320.60
hr-4-1-1	initials 317.35	 	 finals: 308.10
hr-5-0-0	initials 313.35	 	 finals: 316.20
hr-5-0-1	initials 324.05	 	 finals: 306.20
hr-5-1-0	initials 315.55	 	 finals: 308.85
hr-5-1-1	initials 304.40	 	 finals: 312.90
hr-6-0-0	initials 304.10	 	 finals: 316.10
hr-6-0-1	initials 304.95	 	 finals: 322.80
hr-6-1-0	initials 315.40	 	 finals: 314.10
hr-6-1-1	initials 325.00	 	 finals: 318.60
hr-7-0-0	initials 339.75	 	 finals: 309.70
hr-7-0-1	initials 320.30	 	 finals: 309.15
hr-7-1-0	initials 301.40	 	 finals: 318.90
hr-7-1-1	initials 325.80	 	 finals: 304.65
hr-8-0-0	initials 318.40	 	 finals: 306.80
hr-8-0-1	initials 321.20	 	 finals: 313.20
hr-8-1-0	initials 313.00	 	 finals: 311.80
hr-8-1-1	initials 321.10	 	 finals: 311.55
hr-9-0-0	initials 311.60	 	 finals: 311.40
hr-9-0-1	initials 313.60	 	 finals: 313.35
hr-9-1-0	initials 303.20	 	 finals: 312.15
hr-9-1-1	initials 309.65	 	 finals: 316.90
