tbdlinux.mtx

is :     8002 |  7365  7293  7306  7376  7389
is :     7970 |  7285  7281  7359  7337  7414
is :     8006 |  7366  7251  7374  7328  7310
is :     8069 |  7317  7213  7255  7321  7296
is :     8003 |  7346  7298  7349  7387  7280
is :     7942 |  7336  7261  7266  7291  7328
is :     7991 |  7237  7269  7436  7292  7283
is :     8018 |  7375  7370  7340  7360  7463
is :     7985 |  7258  7208  7280  7187  7220
is :     7998 |  7360  7372  7276  7290  7246
is :     7999 |  7304  7216  7241  7333  7212
is :     7995 |  7398  7298  7236  7308  7317
is :     8002 |  7236  7382  7281  7331  7316
is :     7920 |  7209  7232  7286  7293  7232
is :     7957 |  7323  7338  7231  7244  7263
is :     7979 |  7306  7328  7397  7353  7324
is :     7945 |  7359  7305  7263  7325  7334
is :     8083 |  7340  7297  7348  7322  7302
is :     8030 |  7331  7380  7321  7310  7298
is :     8045 |  7388  7313  7413  7298  7283
------
mean initials 7996.95, mean final 7309.98, time 12151.7 s (mean 106.392 s)

